x_px,y_px
17.71,91.6
29.44,105.11
47.04,115.09
59.44,123.08
82.91,134.08
100.51,144.35
115.91,152.42
132.05,162.69
143.78,171.49
155.52,178.82
163.58,195.69
171.65,208.16
177.52,224.29
190.72,249.23
199.52,268.3
212.72,285.9
225.93,307.17
239.13,323.31
250.86,337.24
257.46,348.98
268.46,359.98
279.47,373.18
295.6,387.85
311.0,397.38
329.34,406.92
346.94,416.45
371.88,420.12
396.08,422.32
418.82,423.05
444.49,423.05
474.56,412.05
498.76,397.38
525.16,380.51
540.57,368.05
559.64,350.44
575.04,333.58
592.64,309.37
604.37,288.1
621.98,263.9
635.18,241.9
647.65,220.63
654.25,205.96
668.18,189.09
682.85,178.09
705.59,161.22
720.26,150.22
745.19,136.28
766.46,123.81
790.67,109.88
814.14,97.41
824.4,85.68
825.87,82.01
812.67,82.01
801.67,82.74
791.4,86.41
788.47,88.61
785.53,91.54
778.2,88.61
770.86,88.61
765.0,88.61
758.39,91.54
747.39,91.54
731.26,88.61
723.19,85.68
708.52,84.21
698.25,82.01
682.85,79.81
667.45,79.81
662.32,79.81
656.45,79.81
646.18,87.14
641.05,87.88
631.51,88.61
626.38,88.61
617.58,90.81
613.91,90.81
606.58,88.61
597.77,83.48
586.04,80.54
551.57,83.48
530.3,87.14
516.36,87.14
500.96,87.88
475.29,88.61
457.69,83.48
426.15,84.94
412.22,80.54
393.88,80.54
374.81,80.54
355.74,80.54
342.54,80.54
322.0,80.54
308.07,80.54
299.27,80.54
284.6,79.81
276.53,82.74
263.33,86.41
253.8,86.41
236.93,90.81
225.93,95.94
207.59,96.68
192.19,90.08
177.52,86.41
156.98,83.48
141.58,79.81
123.98,83.48
119.58,84.21
111.51,86.41
96.11,86.41
90.24,86.41
82.91,87.14
76.31,88.61
62.37,88.61
52.84,87.88
39.63,85.68
33.77,83.48
24.23,80.54
19.83,80.54
16.16,83.48
13.96,84.94
17.63,90.08
